track_name,artist_name,artist_pop,artist_genres,album,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre_score,track_pop
Up,Olly Murs,65,"['dance pop', 'neo mellow', 'pop', 'pop dance', 'post-teen pop', 'talent show', 'tropical house', 'uk pop']",Never Been Better (Expanded Edition),0.692,0.831,-5.389,0.034,0.0146,0.0,0.103,0.676,114.972,224294,4,1397.0,72
Castle on the Hill,Ed Sheeran,90,"['pop', 'uk pop']",÷ (Deluxe),0.461,0.834,-4.868,0.0989,0.0232,1.14e-05,0.14,0.471,135.007,261154,4,726.0,79
High,Young Rising Sons,53,"['folk-pop', 'indie poptimism', 'indiecoustica', 'modern alternative rock', 'modern rock', 'pop rock', 'stomp and holler']",Young Rising Sons,0.646,0.85,-5.145,0.043,0.028,7.21e-05,0.281,0.518,116.999,165720,4,353.0,55
Go Big Or Go Home,American Authors,65,"['modern rock', 'pop', 'pop rock', 'rock']",What We Live For,0.665,0.875,-4.272,0.0426,0.00939,0.0,0.0897,0.66,122.008,169027,4,861.0,62
Rollercoaster,Jonas Brothers,74,"['boy band', 'dance pop', 'pop', 'post-teen pop']",Happiness Begins,0.697,0.58,-7.986,0.0451,0.0583,0.0,0.393,0.467,123.977,181813,4,1002.0,59
Have It All,Jason Mraz,71,"['acoustic pop', 'neo mellow', 'pop', 'pop rock']",Know.,0.643,0.638,-4.947,0.0407,0.204,0.0,0.0707,0.6,82.001,226107,4,761.0,65
Wonders,The Script,72,"['celtic rock', 'dance pop', 'neo mellow', 'pop', 'pop rock', 'uk pop']",Freedom Child,0.599,0.67,-5.889,0.0321,0.0111,0.0,0.181,0.366,129.879,258267,4,1208.0,53
You're Worth It,Cimorelli,49,"['channel pop', 'post-teen pop', 'social media pop', 'viral pop']",Renegade,0.442,0.709,-3.887,0.0426,0.13,0.0,0.214,0.515,89.926,223252,4,169.0,53
Lonely With Me,Parachute,58,"['acoustic pop', 'charlottesville indie', 'neo mellow', 'pop', 'pop punk', 'pop rock', 'post-teen pop', 'viral pop']",Wide Awake,0.589,0.809,-5.6,0.0283,0.0479,0.0,0.116,0.628,87.013,218813,4,933.0,53
Cover Me In Sunshine,P!nk,78,"['dance pop', 'pop']",All I Know So Far: Setlist,0.473,0.592,-6.859,0.138,0.0528,0.0,0.131,0.292,159.7,138573,4,860.0,68
Going Home,The Score,70,"['modern alternative rock', 'modern rock', 'rock']",ATLAS (Deluxe),0.615,0.848,-3.928,0.0273,0.00563,0.0,0.126,0.547,90.03,198480,4,209.0,54
Keep Your Head Up,Andy Grammer,70,"['dance pop', 'modern rock', 'neo mellow', 'pop', 'pop rap', 'pop rock']",Andy Grammer,0.674,0.778,-5.367,0.0376,0.0469,0.0,0.145,0.816,90.01,189933,4,1178.0,71
(It's Gonna Be) Okay,The Piano Guys,61,['bow pop'],"So Far, So Good",0.693,0.765,-5.541,0.0352,0.124,0.000455,0.0589,0.81,119.997,210813,4,3.0,44
What Dreams Are Made Of,Reggie Ann,24,[],What Dreams Are Made Of,0.752,0.431,-6.747,0.0357,0.838,0.0,0.0969,0.568,119.967,212167,4,0.0,43
Scarecrow,Alex & Sierra,60,"['neo mellow', 'pop', 'pop rock', 'post-teen pop', 'uk pop', 'viral pop']",It's About Us,0.656,0.8,-5.144,0.0569,0.0215,1.96e-06,0.0801,0.515,119.966,206467,4,1059.0,47
Kaleidoscope,A Great Big World,61,"['modern rock', 'neo mellow', 'piano rock', 'pop', 'pop rock', 'viral pop']",When the Morning Comes,0.709,0.913,-5.148,0.0748,0.0182,0.0,0.167,0.519,108.024,229320,4,880.0,62
Better When I'm Dancin',Meghan Trainor,73,"['dance pop', 'hip pop', 'pop', 'post-teen pop', 'uk pop']",Better When I'm Dancin',0.756,0.789,-7.002,0.0324,0.53,0.000711,0.157,0.873,127.987,176267,4,1161.0,74
When We Feel Young,When Chai Met Toast,49,"['folk-pop', 'indian indie']",When We Feel Young,0.573,0.7,-6.661,0.0271,0.267,0.0187,0.117,0.317,87.508,266393,4,50.0,50
Main Bola Hey!,Karthik Rao,40,['indian singer-songwriter'],Kota Factory: Season 1 (Music from Tvf Original Series),0.646,0.33,-14.582,0.0339,0.75,0.000384,0.123,0.499,84.995,153000,4,21.0,53
Baarish Ka Asar,Twin Strings,44,['indian indie'],Baarish Ka Asar,0.59,0.63,-6.735,0.0279,0.469,1.02e-05,0.15,0.227,119.962,245500,4,17.0,59
Aisi Raaton,Anupam Roy,54,"['classic bangla pop', 'desi pop', 'filmi', 'hindi indie', 'indian singer-songwriter', 'kolkata indie', 'modern bollywood']",Aisi Raaton,0.517,0.443,-8.946,0.0529,0.88,0.000141,0.0989,0.538,176.035,218930,4,802.0,60
Nit Nit,Jasleen Royal,65,"['desi pop', 'filmi', 'indian singer-songwriter', 'modern bollywood']",Nit Nit,0.442,0.412,-10.675,0.0377,0.781,0.0237,0.15,0.235,176.019,246136,4,772.0,65
Khudi,The Local Train,54,"['desi pop', 'filmi', 'hindi indie', 'indian indie', 'indian rock', 'new delhi indie']",Khudi - Single,0.646,0.8,-6.98,0.0424,0.014,0.000144,0.102,0.619,127.046,296563,4,574.0,36
O Sanam,Lucky Ali,57,"['desi pop', 'filmi', 'modern bollywood']",Sunoh,0.76,0.555,-10.165,0.0465,0.409,0.213,0.0822,0.52,98.066,223028,4,751.0,64
Pahadon Mein,Salman Elahi,37,['indian singer-songwriter'],Shaan,0.776,0.477,-10.049,0.0308,0.592,0.000184,0.105,0.774,115.008,225391,4,21.0,56
Khoya,Zariya,36,"['hindi indie', 'indian singer-songwriter']",Khoya,0.609,0.539,-8.087,0.0284,0.138,0.00014,0.286,0.413,99.995,178198,4,45.0,55
Tune Kaha,Prateek Kuhad,62,"['desi pop', 'folk-pop', 'hindi indie', 'indian singer-songwriter']",Tune Kaha,0.362,0.763,-8.514,0.0589,0.015,0.00481,0.237,0.431,187.291,216886,4,402.0,56
"Dil Beparvah - The Dewarists, Season 5",Ankur Tewari,53,"['indian indie', 'indian rock', 'indian singer-songwriter', 'modern bollywood', 'pakistani pop']","Dil Beparvah (The Dewarists, Season 5)",0.762,0.391,-11.735,0.0337,0.867,0.000521,0.112,0.355,137.956,250000,3,279.0,55
Baaraat,Ritviz,61,"['desi hip hop', 'desi pop', 'hindi indie', 'indian edm']",Baaraat,0.678,0.449,-9.379,0.0869,0.477,0.0,0.536,0.606,100.033,222096,4,410.0,67
Aaya Na Tu,Arjun Kanungo,59,"['desi hip hop', 'desi pop', 'modern bollywood']",Aaya Na Tu,0.665,0.539,-7.213,0.0474,0.825,5.85e-06,0.121,0.368,110.101,210000,4,601.0,68
Aaoge Tum Kabhi,The Local Train,54,"['desi pop', 'filmi', 'hindi indie', 'indian indie', 'indian rock', 'new delhi indie']",Aalas Ka Pedh,0.534,0.863,-4.616,0.0357,0.0152,0.0167,0.144,0.374,98.006,313163,4,574.0,56
Sitaare,Nikhil D'Souza,58,"['desi pop', 'filmi', 'indian indie', 'modern bollywood', 'pakistani pop']",Sitaare - Single,0.651,0.274,-9.683,0.0314,0.699,3.12e-05,0.12,0.221,121.91,236394,4,778.0,40
Pehli Baarish,Akanksha Bhandari,43,['himachali pop'],Pehli Baarish,0.584,0.342,-12.659,0.0331,0.842,0.0,0.18,0.574,91.974,157826,4,3.0,51
Chalo Chalein,Ritviz,61,"['desi hip hop', 'desi pop', 'hindi indie', 'indian edm']",Chalo Chalein,0.461,0.5,-9.828,0.0614,0.00243,0.03,0.116,0.572,76.176,184371,4,410.0,0
Dooba Dooba,Silk Route,36,"['filmi', 'indian indie', 'modern bollywood']",Boondein,0.716,0.562,-8.741,0.0315,0.529,0.000133,0.0928,0.533,105.004,303020,4,444.0,53
intezaar,Zaeden,58,"['desi pop', 'hindi indie', 'indian edm']",Genesis 1:1,0.638,0.489,-6.206,0.0278,0.582,0.0,0.0965,0.548,106.915,152523,4,359.0,54
Urr Jaoon,Strings,40,"['classic pakistani pop', 'filmi', 'pakistani pop', 'pakistani rock']",Thirty,0.445,0.397,-8.213,0.026,0.16,0.00507,0.344,0.104,140.046,240426,4,224.0,38
