track_name,artist_name,artist_pop,artist_genres,album,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,track_pop
We're All In This Together,High School Musical Cast,61,"['dance pop', 'post-teen pop']",High School Musical,0.76,0.941,-6.356,0.0688,0.0451,0.0,0.649,0.805,116.013,231427,4,65
Arabian Nights,Bruce Adler,42,['movie tunes'],Aladdin (Original Motion Picture Soundtrack),0.507,0.197,-15.568,0.0406,0.689,0.0,0.214,0.497,128.946,79293,4,60
The Bare Necessities,Phil Harris,50,['movie tunes'],The Jungle Book,0.788,0.247,-18.298,0.0653,0.768,0.0,0.198,0.545,102.957,291467,4,62
I Just Can't Wait to Be King,JD McCrary,46,[],The Lion King (Original Motion Picture Soundtrack),0.683,0.701,-8.041,0.131,0.143,0.0,0.618,0.751,99.023,202987,4,61
I2I,Tevin Campbell,55,"['contemporary r&b', 'hip pop', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']",A Goofy Movie,0.728,0.756,-7.993,0.0389,0.0394,0.0,0.743,0.775,130.136,241387,4,63
Poor Unfortunate Souls,Pat Carroll,44,"['disney', 'movie tunes']",The Little Mermaid Special Edition,0.384,0.18,-17.279,0.101,0.77,0.0,0.367,0.368,73.603,291693,4,61
"Supercalifragilisticexpialidocious - From ""Mary Poppins""/Soundtrack Version",Julie Andrews,55,"['hollywood', 'movie tunes', 'show tunes']",The Sherman Brothers Songbook,0.507,0.787,-8.13,0.352,0.602,0.0,0.198,0.901,160.499,121440,4,0
The Gospel Truth I / Main Titles - Hercules,Cheryl Freeman,56,"['disney', 'movie tunes']",Hercules (Original Motion Picture Soundtrack),0.472,0.579,-10.424,0.15,0.336,0.000163,0.209,0.518,157.998,145640,4,0
It's All Right,Jon Batiste,58,['new orleans jazz'],Soul (Original Motion Picture Soundtrack),0.552,0.45,-9.768,0.0522,0.585,3.22e-05,0.316,0.614,105.108,170187,4,60
All I Want,Olivia Rodrigo,85,['pop'],High School Musical: The Musical: The Series (Original Soundtrack),0.376,0.43,-6.585,0.0328,0.0902,0.0,0.0912,0.129,77.599,177323,3,75
"Bibbidi-Bobbidi-Boo - From ""Cinderella""",Verna Felton,39,"['disney', 'movie tunes']",Disney's Greatest Volume 1,0.513,0.525,-8.57,0.0524,0.949,2.42e-05,0.233,0.887,105.862,77933,4,57
"Once Upon a Dream - From ""Maleficent"" / Pop Version",Lana Del Rey,84,"['art pop', 'pop']",Maleficent (Original Motion Picture Soundtrack),0.25,0.325,-14.572,0.0371,0.674,0.00867,0.104,0.165,119.75,200373,3,57
One Jump Ahead,Brad Kane,53,"['disney', 'movie tunes']",Aladdin Special Edition,0.564,0.326,-16.436,0.127,0.425,0.0,0.742,0.688,123.608,142440,4,59
Carried Me With You,Brandi Carlile,63,"['acoustic pop', 'folk', 'lilith', 'modern folk rock', 'neo mellow', 'new americana']",Onward (Original Motion Picture Soundtrack),0.639,0.666,-7.775,0.0636,0.271,0.0,0.111,0.372,98.384,213733,4,62
Into the Unknown - Panic! At The Disco Version,Panic! At The Disco,79,['modern rock'],Frozen 2 (Original Motion Picture Soundtrack/Deluxe Edition),0.456,0.828,-6.225,0.077,0.0244,0.0,0.21,0.313,116.719,189132,4,67
Love Is an Open Door,DCappella,49,['hollywood'],Love Is an Open Door,0.684,0.718,-4.66,0.0342,0.163,0.0,0.176,0.774,99.948,125533,4,54
Go the Distance,Roger Bart,48,"['broadway', 'disney', 'hollywood', 'movie tunes', 'show tunes']",Hercules (Original Motion Picture Soundtrack),0.218,0.124,-17.112,0.0326,0.88,0.00159,0.0845,0.172,86.614,194160,4,0
The Rose Song,Olivia Rodrigo,85,['pop'],High School Musical: The Musical: The Series (Original Soundtrack/Season 2),0.437,0.374,-8.991,0.0376,0.786,0.0,0.107,0.461,141.897,174380,4,55
Immortals,Fall Out Boy,76,"['emo', 'modern rock', 'rock']",Big Hero 6 (Original Motion Picture Soundtrack),0.703,0.856,-6.336,0.0461,0.00064,0.00126,0.38,0.722,108.025,195027,4,65
"I See the Light - From ""Tangled"" / Soundtrack Version",Mandy Moore,62,"['dance pop', 'hollywood', 'post-teen pop']",Tangled,0.281,0.139,-14.392,0.0305,0.829,0.0,0.0725,0.169,92.64,224240,4,69
"You've Got a Friend in Me - From ""Toy Story""/Soundtrack Version",Randy Newman,59,"['disney', 'movie tunes', 'singer-songwriter']",Toy Story,0.689,0.333,-12.134,0.0307,0.817,5.13e-06,0.285,0.471,115.835,124160,4,70
All Is Found - Kacey Musgraves Version,Kacey Musgraves,68,"['contemporary country', 'country dawn', 'pop', 'texas country']",Frozen 2 (Original Motion Picture Soundtrack/Deluxe Edition),0.438,0.19,-13.573,0.0289,0.954,7.12e-05,0.117,0.106,153.02,183735,4,62
Kiss the Girl - Remastered 2014,Samuel E. Wright,55,"['disney', 'hollywood', 'movie tunes', 'show tunes']",Walt Disney Records The Legacy Collection: The Little Mermaid,0.67,0.235,-15.638,0.047,0.748,0.0,0.357,0.757,134.932,160880,4,58
"Mother Knows Best (Reprise) - From ""Tangled""/Soundtrack Version",Donna Murphy,50,"['disney', 'hollywood', 'movie tunes']",Tangled,0.55,0.332,-10.683,0.175,0.826,0.0,0.206,0.552,110.539,98320,3,62
Life is a Highway,Rascal Flatts,68,"['contemporary country', 'country', 'country road']",Cars (Original Motion Picture Soundtrack),0.562,0.934,-5.562,0.0607,0.00211,0.0,0.199,0.558,103.042,275640,4,72
"Can You Feel the Love Tonight - End Title/ From ""The Lion King""/Soundtrack Version",Elton John,82,"['glam rock', 'mellow gold', 'piano rock']",The Lion King,0.309,0.181,-17.022,0.0337,0.87,0.000279,0.118,0.146,124.711,241013,4,62
